userId,role,interests,registrationDate,location,activityScore,influenceScore,postCount,interactionCount,followerCount,followingCount,lastActiveDate
user_036,general,"arts and culture",2020-08-31,重庆,59,52,134,1308,2513,116,2023-11-06
user_037,information-seeker,"entertainment",2020-07-07,武汉,25,28,52,713,453,360,2023-12-22
user_038,information-seeker,"entertainment,business and finance",2021-12-02,南昌,45,41,53,200,671,257,2023-11-22
user_039,information-source,"fitness and health",2023-04-03,上海,81,93,172,1405,5349,90,2023-12-17
user_040,inactive,"business and finance,food and dining,sports",2020-06-10,合肥,24,5,4,39,88,82,2023-11-15
user_041,information-seeker,"fashion and beauty",2020-07-02,长沙,43,43,50,336,973,507,2023-11-25
user_042,general,"animals,fitness and health",2022-02-07,长春,41,51,66,1480,831,176,2024-01-12
user_043,general,"fashion and beauty,arts and culture",2022-01-31,太原,62,31,54,1356,997,287,2024-01-09
user_044,general,"science and technology",2020-08-14,西安,73,49,137,788,1632,264,2024-01-06
user_045,information-seeker,"science and technology",2020-04-02,济南,44,29,47,219,542,587,2023-11-29
user_046,information-source,"sports,travel",2021-02-01,青岛,89,63,320,1679,7773,184,2024-01-08
user_047,information-source,"entertainment",2022-08-01,苏州,83,86,397,1220,6782,202,2023-11-25
user_048,general,"food and dining",2020-03-01,北京,53,60,63,986,2628,229,2023-12-27
user_049,general,"learning and educational",2023-08-12,太原,40,55,130,732,807,295,2024-01-02
user_050,information-source,"arts and culture,science and technology",2021-04-12,厦门,90,86,223,4584,7460,127,2024-01-14
user_051,information-seeker,"entertainment,food and dining",2022-11-05,青岛,41,31,15,629,848,261,2023-12-11
user_052,information-seeker,"entertainment",2020-09-16,大连,36,41,40,768,729,204,2023-12-01
user_053,general,"science and technology,entertainment",2023-06-17,上海,65,30,86,715,1301,197,2023-11-09
user_054,information-source,"fitness and health,travel",2023-03-05,苏州,73,81,471,1247,7945,197,2023-12-18
user_055,general,"travel,entertainment",2023-03-26,石家庄,68,38,72,635,2482,148,2023-12-12
user_056,general,"animals",2021-06-07,合肥,74,38,105,1045,2082,116,2023-11-07
user_057,information-seeker,"travel",2020-11-10,重庆,51,19,41,754,626,240,2024-01-19
user_058,information-seeker,"science and technology,animals,sports",2022-03-23,重庆,45,41,72,184,207,467,2023-12-20
user_059,inactive,"food and dining",2020-03-31,宁波,25,8,11,33,152,45,2023-12-21
user_060,general,"business and finance,arts and culture,science and technology",2022-10-13,南京,48,58,133,1469,1134,222,2023-12-15
user_061,inactive,"food and dining",2022-05-23,长春,23,3,15,81,38,78,2023-12-04
user_062,information-source,"entertainment,food and dining",2020-10-10,长春,87,70,436,2432,3985,108,2023-11-25
user_063,inactive,"animals",2022-06-22,厦门,6,8,16,58,91,76,2023-12-05
user_064,information-source,"animals,sports",2020-01-21,上海,91,68,337,3241,5148,174,2023-12-18
user_065,information-seeker,"science and technology",2021-04-17,福州,33,45,68,217,591,412,2024-01-19
user_066,inactive,"learning and educational,sports,fashion and beauty",2022-04-12,沈阳,16,9,13,69,39,46,2023-11-22
user_067,general,"fitness and health,learning and educational",2023-05-28,深圳,63,30,93,505,1780,106,2023-12-19
user_068,information-source,"entertainment",2020-07-30,哈尔滨,66,62,142,3837,4904,74,2023-12-25
user_069,inactive,"arts and culture,entertainment",2020-04-13,青岛,14,3,16,26,93,70,2023-12-26
user_070,information-source,"science and technology,entertainment",2021-04-09,合肥,84,79,310,3676,8094,160,2023-11-12
user_071,inactive,"science and technology,learning and educational,politics",2022-06-01,厦门,23,20,13,37,195,77,2023-11-16
user_072,information-seeker,"learning and educational,food and dining,science and technology",2023-09-04,长沙,55,42,26,649,592,452,2024-01-06
user_073,information-seeker,"animals",2021-06-18,上海,56,39,17,536,974,418,2023-12-17
user_074,inactive,"animals,arts and culture,science and technology",2020-08-06,南京,10,19,8,49,67,64,2024-01-14
user_075,general,"business and finance",2021-11-26,哈尔滨,62,41,136,1346,570,196,2024-01-14
user_076,inactive,"learning and educational,entertainment",2020-03-25,北京,25,10,10,6,118,48,2023-11-19
user_077,information-seeker,"sports",2021-07-08,合肥,50,30,70,729,367,212,2023-12-27
user_078,information-seeker,"travel,animals,entertainment",2023-02-11,青岛,60,23,58,378,166,293,2023-12-24
user_079,information-source,"fitness and health,business and finance,food and dining",2023-07-05,大连,78,84,442,2465,9932,121,2024-01-08
user_080,information-seeker,"fashion and beauty,sports,entertainment",2021-11-07,南昌,48,31,71,413,447,225,2023-11-25
user_081,information-seeker,"science and technology,fashion and beauty,politics",2021-06-06,长春,35,44,63,451,725,317,2024-01-07
user_082,information-source,"food and dining",2022-02-07,西安,86,88,240,1648,6297,212,2023-12-15
user_083,information-seeker,"animals,learning and educational,fitness and health",2022-08-27,重庆,39,16,68,732,790,204,2023-12-31
user_084,inactive,"sports,learning and educational",2020-07-04,哈尔滨,24,13,6,6,16,39,2023-12-01
user_085,information-seeker,"animals,fitness and health",2020-07-26,南京,25,39,29,757,654,548,2023-12-25
user_086,general,"fashion and beauty,entertainment,fitness and health",2020-11-18,武汉,56,55,73,539,2878,149,2023-12-29
user_087,information-seeker,"sports,arts and culture,politics",2022-06-13,石家庄,42,34,67,297,924,493,2023-12-25
user_088,information-source,"politics",2023-10-01,武汉,94,69,246,2358,3115,221,2023-12-13
user_089,inactive,"entertainment,food and dining,business and finance",2022-12-22,杭州,10,5,1,63,132,44,2023-12-02
user_090,information-source,"entertainment",2021-12-14,南京,89,62,125,1749,9681,66,2023-11-05
user_091,general,"animals",2023-11-17,广州,40,44,80,982,521,152,2023-12-23
user_092,inactive,"fitness and health,business and finance",2023-05-21,郑州,16,14,0,8,103,19,2023-11-04
user_093,information-seeker,"animals,business and finance",2020-05-22,昆明,48,35,55,506,959,593,2023-11-12
user_094,information-seeker,"entertainment",2021-07-25,杭州,42,24,23,616,264,284,2024-01-10
user_095,information-source,"entertainment,learning and educational",2021-04-27,福州,69,82,213,1743,3823,112,2023-11-19
user_096,information-seeker,"fitness and health,learning and educational,entertainment",2021-10-01,石家庄,31,45,65,680,229,466,2024-01-14
user_097,information-source,"learning and educational,fitness and health",2021-11-11,成都,67,75,491,2943,5641,164,2024-01-08
user_098,information-source,"science and technology",2020-06-02,无锡,68,83,356,3953,5941,250,2023-11-23
user_099,general,"learning and educational,entertainment,politics",2020-05-20,北京,56,64,75,1338,2675,174,2023-12-21
user_100,inactive,"science and technology",2020-03-23,昆明,20,16,3,30,133,81,2024-01-03
user_101,information-source,"learning and educational,travel,politics",2023-09-19,上海,88,68,185,3824,8995,196,2023-11-20
user_102,information-source,"animals",2023-12-13,长沙,86,91,191,3240,2845,125,2024-01-08
user_103,information-seeker,"arts and culture",2021-07-19,无锡,31,15,17,487,147,452,2023-11-22
user_104,information-seeker,"business and finance,fitness and health",2023-03-22,长沙,49,18,63,170,444,394,2024-01-01
user_105,general,"animals,entertainment",2020-03-29,南京,75,57,113,1020,2181,101,2023-11-02
user_106,inactive,"animals,arts and culture,sports",2022-03-01,苏州,12,5,6,77,164,97,2023-12-05
user_107,information-seeker,"travel,animals,learning and educational",2020-07-24,长春,45,19,43,745,313,435,2024-01-02
user_108,general,"fashion and beauty",2023-09-30,天津,40,54,69,830,2566,293,2023-12-20
user_109,information-seeker,"fitness and health,politics",2022-08-28,福州,38,24,36,551,114,385,2023-11-29
user_110,general,"fashion and beauty,business and finance",2023-11-04,南昌,69,37,138,683,899,158,2023-11-11
user_111,inactive,"animals,learning and educational",2023-03-20,合肥,15,18,5,80,173,75,2023-11-30
user_112,information-source,"business and finance,travel,arts and culture",2021-07-05,武汉,76,84,276,2310,7497,168,2023-12-13
user_113,information-seeker,"arts and culture,business and finance,science and technology",2023-12-15,佛山,37,45,10,593,343,211,2023-12-12
user_114,inactive,"animals",2023-08-13,南京,18,8,12,4,47,74,2023-12-06
user_115,information-source,"travel,science and technology",2022-08-27,西安,67,82,284,3790,8994,70,2023-12-02
user_116,general,"food and dining,fashion and beauty",2022-09-01,成都,69,59,94,1322,598,146,2024-01-14
user_117,inactive,"entertainment",2022-04-18,长沙,21,18,13,89,49,10,2023-11-11
user_118,information-source,"fashion and beauty,animals",2023-07-09,苏州,88,91,388,2166,6336,70,2023-12-18
user_119,information-seeker,"science and technology,entertainment,sports",2022-10-08,广州,30,42,30,371,986,426,2024-01-09
user_120,information-seeker,"entertainment,animals,arts and culture",2020-02-03,宁波,49,42,54,219,965,242,2023-11-09
user_121,inactive,"arts and culture,fashion and beauty",2022-11-28,宁波,22,7,15,49,29,93,2023-12-29
user_122,inactive,"travel",2020-08-19,昆明,6,16,12,89,127,33,2023-12-31
user_123,inactive,"fashion and beauty,entertainment",2023-08-26,宁波,10,14,7,12,178,63,2023-12-01
user_124,information-seeker,"entertainment,business and finance,arts and culture",2023-05-02,青岛,54,38,79,109,483,421,2023-12-29
user_125,information-source,"science and technology,animals,sports",2022-11-26,长沙,81,68,369,1951,4555,180,2023-11-24
user_126,information-seeker,"animals,fashion and beauty",2022-01-26,沈阳,58,35,14,261,833,469,2024-01-08
user_127,inactive,"food and dining,science and technology,animals",2023-12-09,天津,24,13,16,98,163,62,2023-11-09
user_128,inactive,"learning and educational,business and finance,sports",2022-11-01,昆明,19,9,1,85,124,15,2024-01-07
user_129,information-seeker,"arts and culture,learning and educational,sports",2021-07-21,哈尔滨,38,40,19,561,972,502,2024-01-12
user_130,information-seeker,"food and dining,travel",2023-08-05,济南,31,44,25,718,335,567,2023-11-06
user_131,general,"travel,animals,arts and culture",2022-11-08,大连,70,62,93,1223,2843,149,2024-01-10
user_132,general,"fashion and beauty,entertainment",2020-06-04,长沙,46,39,64,1212,1156,203,2023-12-15
user_133,inactive,"business and finance,arts and culture,politics",2021-11-30,长沙,20,14,6,12,59,68,2023-11-18
user_134,information-seeker,"politics",2023-12-16,合肥,28,28,53,470,907,594,2023-12-05
user_135,inactive,"animals,learning and educational",2021-03-03,太原,22,4,10,18,64,47,2023-11-10
user_136,general,"fitness and health",2023-03-14,北京,67,37,67,753,688,120,2023-11-29
user_137,general,"entertainment,fitness and health,politics",2022-03-19,厦门,48,52,80,871,2373,104,2023-12-12
user_138,general,"fitness and health",2022-05-04,深圳,69,30,94,1142,1012,151,2023-11-12
user_139,inactive,"business and finance,politics",2022-04-01,杭州,19,20,16,91,45,62,2023-11-07
user_140,information-seeker,"travel,entertainment",2022-01-27,太原,46,21,53,387,111,252,2023-11-01
user_141,information-source,"learning and educational,arts and culture",2020-05-18,石家庄,74,77,239,4519,3612,137,2023-12-04
user_142,information-seeker,"food and dining,fitness and health",2022-02-17,苏州,41,29,38,163,680,229,2023-11-10
user_143,general,"sports,animals,travel",2021-07-07,长春,56,52,106,759,1346,138,2024-01-14
user_144,inactive,"science and technology,politics",2022-09-26,哈尔滨,25,7,4,86,44,47,2023-11-14
user_145,inactive,"fashion and beauty,fitness and health,science and technology",2023-01-26,厦门,23,4,12,92,106,25,2024-01-16
user_146,general,"animals",2022-01-27,重庆,51,42,105,1080,1780,235,2024-01-18
user_147,information-seeker,"arts and culture,business and finance",2022-10-07,太原,42,28,75,719,163,233,2023-12-20
user_148,inactive,"animals,fitness and health,learning and educational",2021-07-25,济南,8,11,19,46,119,96,2023-11-30
user_149,general,"entertainment,business and finance,food and dining",2021-09-06,成都,54,35,97,764,2255,266,2023-11-20
user_150,information-seeker,"learning and educational,business and finance,entertainment",2023-04-06,沈阳,50,22,59,203,580,495,2023-12-02
user_151,inactive,"entertainment",2022-04-02,福州,16,16,19,51,102,32,2023-12-24
user_152,inactive,"learning and educational,fitness and health,politics",2020-05-18,重庆,23,4,7,15,119,68,2024-01-08
user_153,information-source,"business and finance,fashion and beauty,food and dining",2021-06-05,大连,67,83,359,2719,3763,124,2023-11-01
user_154,information-seeker,"entertainment,politics,science and technology",2021-07-22,佛山,51,39,64,127,575,309,2023-11-01
user_155,information-seeker,"fitness and health,science and technology,arts and culture",2020-08-26,济南,30,36,40,304,984,332,2024-01-13
user_156,information-source,"food and dining,entertainment,business and finance",2022-09-18,上海,72,92,368,1542,8948,170,2024-01-03
user_157,information-seeker,"learning and educational,business and finance",2023-01-24,无锡,30,26,14,743,943,294,2023-11-14
user_158,inactive,"learning and educational,travel",2020-07-09,哈尔滨,9,11,18,89,94,14,2024-01-13
user_159,information-seeker,"entertainment,fitness and health,food and dining",2022-06-06,杭州,38,25,49,344,130,529,2024-01-12
user_160,inactive,"fashion and beauty,entertainment,business and finance",2022-10-21,郑州,25,9,10,29,125,88,2023-12-27
user_161,inactive,"politics",2022-10-27,苏州,17,13,7,13,17,7,2023-11-30
user_162,information-source,"sports,science and technology",2020-08-30,北京,76,61,485,1431,4301,65,2024-01-10
user_163,general,"fitness and health",2020-06-14,大连,64,56,123,1288,2647,109,2023-12-12
user_164,general,"arts and culture,fitness and health",2020-09-04,成都,56,46,143,528,585,100,2023-11-01
user_165,inactive,"fashion and beauty,learning and educational,entertainment",2022-04-02,哈尔滨,23,7,12,50,70,23,2023-11-22
user_166,information-source,"food and dining,entertainment",2020-06-22,合肥,84,64,339,1555,3307,151,2023-12-17
user_167,general,"entertainment,animals,arts and culture",2021-01-10,南昌,61,40,116,1402,1435,268,2023-12-05
user_168,general,"learning and educational,politics,science and technology",2020-06-20,青岛,58,42,147,547,2649,172,2023-12-27
user_169,information-seeker,"politics",2022-11-11,佛山,28,41,34,705,826,528,2023-12-20
user_170,general,"animals,fitness and health",2021-03-08,昆明,67,34,70,1349,1351,289,2024-01-13
user_171,inactive,"entertainment,learning and educational",2022-05-16,广州,11,17,8,93,74,12,2023-12-19
user_172,information-seeker,"science and technology",2020-10-26,上海,36,29,29,416,254,594,2023-12-02
user_173,information-seeker,"learning and educational",2022-08-02,大连,33,27,55,676,122,550,2023-11-06
user_174,information-seeker,"science and technology,politics",2022-02-25,沈阳,26,31,62,509,962,474,2023-11-02
user_175,information-source,"politics",2023-08-07,大连,90,71,405,2966,2036,107,2023-11-19
user_176,information-source,"animals,arts and culture,business and finance",2021-05-25,沈阳,89,81,343,3320,6694,176,2023-11-27
user_177,inactive,"food and dining",2020-12-12,天津,7,17,12,3,124,58,2023-11-03
user_178,general,"food and dining",2020-01-28,深圳,51,37,64,504,566,144,2024-01-10
user_179,inactive,"entertainment",2020-03-03,石家庄,8,12,16,31,147,86,2024-01-15
user_180,information-seeker,"business and finance",2021-06-13,杭州,44,16,25,709,333,315,2023-11-04
user_181,information-source,"fitness and health,fashion and beauty,science and technology",2020-07-24,大连,94,94,319,1122,6043,133,2023-11-17
user_182,information-seeker,"animals",2023-11-20,西安,38,28,80,154,675,343,2024-01-14
user_183,inactive,"food and dining,politics,animals",2021-07-18,天津,21,14,10,88,66,97,2023-12-26
user_184,inactive,"travel,food and dining,fitness and health",2021-10-18,深圳,16,4,20,1,89,18,2023-11-14
user_185,inactive,"sports,food and dining",2022-07-19,济南,5,7,5,33,148,37,2024-01-14
user_186,general,"science and technology,animals",2020-03-10,无锡,69,59,115,914,1600,270,2023-11-10
user_187,information-seeker,"animals,arts and culture,business and finance",2020-04-13,郑州,56,37,14,258,330,231,2024-01-18
user_188,general,"arts and culture,entertainment",2020-12-09,上海,40,36,117,1063,2718,103,2023-12-22
user_189,general,"food and dining,fashion and beauty",2023-12-21,济南,65,48,116,1439,1000,209,2023-12-28
user_190,inactive,"sports,arts and culture",2020-02-14,无锡,17,17,8,49,124,44,2023-11-10
user_191,information-seeker,"entertainment",2022-04-02,南京,41,29,46,325,430,582,2023-11-12
user_192,general,"learning and educational,entertainment,sports",2021-08-19,长春,56,55,114,548,1641,246,2023-12-26
user_193,information-source,"travel,politics,science and technology",2023-08-14,天津,93,69,361,4244,5248,202,2023-12-29
user_194,inactive,"politics",2022-04-25,昆明,19,3,10,8,151,18,2023-11-29
user_195,information-seeker,"politics",2021-09-23,宁波,34,22,19,587,470,371,2023-11-07
user_196,general,"fitness and health,business and finance",2022-05-25,长春,60,64,111,1307,2848,256,2024-01-07
user_197,information-seeker,"animals",2020-10-31,石家庄,57,18,61,213,282,501,2024-01-05
user_198,inactive,"arts and culture,food and dining",2020-06-07,西安,6,13,1,26,198,28,2023-11-10
user_199,information-seeker,"fitness and health,animals",2020-07-05,长沙,32,32,68,559,433,246,2024-01-11
user_200,information-source,"arts and culture,animals,food and dining",2021-03-18,佛山,81,71,276,3155,4959,73,2023-12-11
user_201,information-seeker,"fashion and beauty",2022-08-23,厦门,46,37,19,551,497,526,2023-12-25
user_202,inactive,"travel,science and technology",2020-08-06,沈阳,7,13,20,30,66,7,2023-12-07
user_203,general,"fashion and beauty",2022-03-24,太原,75,44,138,971,2535,247,2023-11-20
user_204,information-seeker,"arts and culture,science and technology,learning and educational",2020-01-26,沈阳,36,15,42,373,521,519,2023-11-04
user_205,information-source,"food and dining,learning and educational",2022-08-11,上海,73,72,346,3733,3869,205,2023-12-13
user_206,general,"animals,arts and culture,politics",2021-02-19,西安,44,58,94,518,1006,224,2024-01-01
user_207,information-source,"animals",2023-09-28,南昌,87,67,301,2130,3866,151,2023-12-05
user_208,general,"travel",2021-03-22,太原,62,47,70,883,752,228,2023-11-17
user_209,information-seeker,"fitness and health,business and finance,travel",2020-12-25,南昌,26,25,20,685,399,567,2023-12-10
user_210,information-source,"animals",2020-11-11,大连,94,71,149,3049,4735,52,2023-12-28
user_211,inactive,"learning and educational,business and finance,fitness and health",2022-12-09,太原,16,6,4,34,67,62,2024-01-08
user_212,information-source,"business and finance",2020-04-15,合肥,85,76,361,4757,3267,209,2023-11-08
user_213,information-seeker,"politics,learning and educational,sports",2022-07-04,哈尔滨,59,37,18,430,122,572,2024-01-16
user_214,inactive,"travel,entertainment",2021-11-19,深圳,23,7,19,43,149,86,2023-11-07
user_215,general,"politics,arts and culture",2023-06-18,南昌,40,54,87,949,883,250,2023-11-18
user_216,information-source,"science and technology,learning and educational,politics",2022-06-05,西安,95,61,185,3743,7965,148,2023-12-24
user_217,general,"sports,politics",2022-06-02,石家庄,53,61,99,530,2101,109,2023-12-03
user_218,information-seeker,"fashion and beauty,learning and educational,science and technology",2020-04-30,上海,60,16,60,516,658,588,2023-12-28
user_219,information-source,"animals",2021-08-23,长春,91,84,194,4688,8595,114,2024-01-10
user_220,inactive,"animals,arts and culture",2021-11-12,深圳,5,17,18,54,26,78,2023-12-21
user_221,inactive,"learning and educational,sports",2020-08-27,厦门,16,14,14,84,133,89,2023-12-12
user_222,inactive,"food and dining",2020-02-05,成都,19,10,16,91,25,18,2023-11-30
user_223,inactive,"animals,fashion and beauty,learning and educational",2023-04-22,北京,15,14,3,7,200,25,2023-12-24
user_224,information-seeker,"animals",2020-03-03,青岛,42,34,32,122,999,584,2023-12-05
user_225,information-seeker,"fashion and beauty,travel,food and dining",2020-03-30,长春,39,40,75,646,145,221,2023-11-02
user_226,general,"sports,fashion and beauty",2021-03-19,上海,50,40,117,560,2946,297,2023-12-12
user_227,information-source,"politics,business and finance",2022-01-18,西安,92,68,151,3952,3102,186,2023-11-02
user_228,information-seeker,"politics,arts and culture",2021-09-06,北京,34,15,12,361,644,251,2023-11-30
user_229,information-source,"fashion and beauty,food and dining,sports",2020-03-07,哈尔滨,66,77,444,1279,3007,112,2023-12-28
user_230,general,"animals,arts and culture",2021-10-05,太原,75,34,133,1360,1980,210,2023-12-29
user_231,information-source,"business and finance,learning and educational",2022-06-17,合肥,93,72,426,1380,4540,101,2024-01-14
user_232,inactive,"entertainment,business and finance",2020-07-01,宁波,8,20,2,3,103,24,2023-11-04
user_233,general,"science and technology,politics,learning and educational",2023-09-25,青岛,66,61,125,986,2604,246,2023-12-10
user_234,inactive,"fashion and beauty,entertainment,travel",2020-11-05,成都,5,11,12,65,125,34,2023-12-15
user_235,information-source,"fashion and beauty,travel,entertainment",2022-10-12,沈阳,89,83,460,3608,8430,205,2023-12-08
user_236,information-source,"learning and educational",2022-09-20,南京,69,93,282,2757,4807,93,2023-11-09
user_237,inactive,"learning and educational",2021-08-30,重庆,14,9,14,32,51,26,2024-01-06
user_238,inactive,"learning and educational",2023-10-01,宁波,14,19,6,19,107,47,2024-01-06
user_239,information-seeker,"science and technology,sports",2022-08-16,上海,29,26,74,180,383,211,2023-11-01
user_240,information-seeker,"learning and educational,animals,food and dining",2020-11-14,合肥,37,42,45,489,800,497,2024-01-05
user_241,general,"business and finance",2023-04-22,青岛,50,58,143,985,1890,286,2024-01-12
user_242,information-seeker,"entertainment",2023-11-19,合肥,40,28,56,603,778,310,2023-11-25
user_243,inactive,"learning and educational",2023-05-02,广州,12,12,18,87,105,36,2023-11-26
user_244,information-source,"sports,food and dining,travel",2022-01-03,上海,71,64,300,3701,5134,140,2023-12-02
user_245,general,"entertainment",2023-11-08,石家庄,73,47,58,1076,1435,156,2024-01-01
user_246,general,"travel,learning and educational",2022-08-11,青岛,48,33,61,825,1234,219,2024-01-10
user_247,inactive,"business and finance,fashion and beauty",2021-10-25,成都,25,16,14,14,71,35,2023-12-13
user_248,information-seeker,"entertainment,food and dining",2021-07-01,郑州,54,16,38,554,660,288,2023-11-07
user_249,general,"arts and culture,sports,animals",2021-05-31,西安,73,37,128,1042,2605,146,2024-01-06
user_250,general,"business and finance",2022-03-23,佛山,51,55,126,778,606,104,2024-01-05
user_251,general,"fitness and health",2021-12-24,广州,52,39,142,873,802,268,2023-11-30
user_252,inactive,"learning and educational",2020-10-24,天津,7,8,16,82,119,34,2023-11-07
user_253,inactive,"fashion and beauty",2023-05-08,重庆,15,10,15,74,158,42,2023-11-20
user_254,general,"food and dining",2022-09-26,长沙,52,38,79,974,1277,200,2023-12-19
user_255,inactive,"science and technology",2021-09-02,宁波,20,10,15,31,119,24,2023-11-19
user_256,general,"food and dining,learning and educational",2020-08-12,深圳,60,46,138,1494,1945,181,2023-11-24
user_257,information-seeker,"learning and educational",2020-09-12,武汉,48,18,15,197,591,208,2024-01-04
user_258,information-source,"business and finance,politics",2023-11-23,重庆,67,88,132,4397,9803,235,2023-12-18
user_259,general,"entertainment,sports",2022-09-26,上海,71,34,88,1122,2321,170,2024-01-09
user_260,information-source,"animals",2021-07-06,昆明,90,66,268,1167,9664,141,2023-11-25
user_261,inactive,"learning and educational,animals",2022-11-02,昆明,9,3,6,9,109,32,2023-11-02
user_262,general,"arts and culture",2022-09-07,无锡,68,39,141,1277,907,182,2023-12-16
user_263,inactive,"learning and educational,entertainment",2020-10-31,南京,9,14,6,45,182,81,2024-01-01
user_264,information-source,"business and finance",2021-01-06,郑州,88,62,256,3662,3546,238,2023-11-06
user_265,general,"learning and educational,fitness and health",2023-04-11,济南,59,49,61,641,1056,300,2023-11-07
user_266,general,"fashion and beauty,entertainment,business and finance",2022-08-19,石家庄,72,38,121,996,2213,125,2023-11-29
user_267,general,"learning and educational,food and dining,politics",2020-06-11,宁波,46,37,104,1373,2220,253,2023-12-31
user_268,general,"business and finance",2022-08-04,重庆,42,31,136,706,1149,300,2023-11-17
user_269,information-seeker,"learning and educational,arts and culture,sports",2022-12-12,杭州,58,21,38,378,713,549,2023-12-05
user_270,information-source,"travel,food and dining",2022-11-19,无锡,93,88,341,3422,2735,132,2023-11-04
user_271,general,"fashion and beauty",2022-12-02,南京,40,50,77,1383,2275,117,2023-11-27
user_272,inactive,"travel",2022-06-06,太原,7,11,17,100,199,31,2024-01-08
user_273,inactive,"entertainment,sports,learning and educational",2023-10-14,合肥,10,8,14,93,175,79,2023-11-07
user_274,general,"entertainment,politics,sports",2023-09-23,厦门,60,65,63,616,1283,133,2023-11-30
user_275,information-seeker,"business and finance",2023-03-06,青岛,40,23,78,715,665,568,2023-11-10
user_276,inactive,"animals,sports,entertainment",2022-04-19,无锡,13,12,9,100,140,13,2024-01-12
user_277,information-source,"travel",2023-02-26,杭州,68,64,189,3750,7337,106,2024-01-09
user_278,inactive,"business and finance",2022-12-24,成都,15,16,17,83,184,25,2023-12-21
user_279,inactive,"business and finance,learning and educational",2021-10-07,佛山,7,19,14,20,46,33,2024-01-16
user_280,inactive,"entertainment,business and finance,science and technology",2020-08-14,宁波,13,5,6,11,185,72,2023-12-11
user_281,general,"animals,arts and culture",2022-06-21,宁波,60,61,72,1163,1456,273,2023-12-18
user_282,general,"science and technology,fashion and beauty",2023-07-12,杭州,69,49,132,1380,2578,130,2024-01-01
user_283,general,"animals,learning and educational",2023-07-14,苏州,48,43,95,1001,1243,208,2023-11-03
